feature,sensor,axis,family,normalized_importance
accel_ZMFCC8,accel,z,mfcc_frequency,0.0029624528251588345
gyro_ZMFCC2,gyro,z,mfcc_frequency,0.002959643257781863
gyro_XMFCC6,gyro,x,mfcc_frequency,0.002933748997747898
accel_ZMFCC2,accel,z,mfcc_frequency,0.0028770107310265303
accel_ZMFCC3,accel,z,mfcc_frequency,0.0028441499453037977
accel_Z8,accel,z,raw_sample_bins,0.002795606618747115
accel_YMFCC6,accel,y,mfcc_frequency,0.0027840682305395603
gyro_Y9,gyro,y,raw_sample_bins,0.0027690420392900705
gyro_YMFCC4,gyro,y,mfcc_frequency,0.002750122221186757
gyro_XMFCC7,gyro,x,mfcc_frequency,0.002745864214375615
accel_ZMFCC0,accel,z,mfcc_frequency,0.0027185799553990364
gyro_X8,gyro,x,raw_sample_bins,0.002701633842661977
accel_ZMFCC11,accel,z,mfcc_frequency,0.0026797230821102858
gyro_XMFCC3,gyro,x,mfcc_frequency,0.0026675642002373934
gyro_XMFCC12,gyro,x,mfcc_frequency,0.0026356938760727644
gyro_Z6,gyro,z,raw_sample_bins,0.0026133174542337656
gyro_XMFCC4,gyro,x,mfcc_frequency,0.0026030908338725567
gyro_X9,gyro,x,raw_sample_bins,0.0025896839797496796
gyro_YMFCC8,gyro,y,mfcc_frequency,0.0025718663819134235
accel_ZMFCC6,accel,z,mfcc_frequency,0.002531580626964569
accel_ZMFCC4,accel,z,mfcc_frequency,0.002468827413395047
accel_ZMFCC7,accel,z,mfcc_frequency,0.002390314359217882
gyro_X6,gyro,x,raw_sample_bins,0.0023863529786467552
gyro_Z8,gyro,z,raw_sample_bins,0.002361959544941783
gyro_Z7,gyro,z,raw_sample_bins,0.0022897091694176197
accel_ZMFCC9,accel,z,mfcc_frequency,0.0022827498614788055
gyro_X7,gyro,x,raw_sample_bins,0.002139512449502945
gyro_Z9,gyro,z,raw_sample_bins,0.0020291574764996767
